Matériaux,Type,Qualité,Quantité,Notes
Aphorite,Minable Geo,523,99,
Aphorite,Minable Geo,523,85,
Aphorite,Minable Geo,348,66,
Aphorite,Minable Geo,717,9,
Aphorite,Minable Geo,686,45,
Hadanite,Minable Geo,274,50,
Hadanite,Minable Geo,526,99,
Hadanite,Minable Geo,526,11,
Hadanite,Minable Geo,762,15,
Hadanite,Minable Geo,867,1,
Hadanite,Minable Geo,665,5,
Dolivine,Minable Geo,901,9,
Dolivine,Minable Geo,304,60,
Dolivine,Minable Geo,886,2,
Dolivine,Minable Geo,577,70,
Dolivine,Minable Geo,957,16,
Dolivine,Minable Geo,621,36,
Dolivine,Minable Geo,743,31,
Beradom,Minable Geo,578,22,
Beradom,Minable Geo,287,3,
Beradom,Minable Geo,656,15,
Beradom,Minable Geo,723,6,
Beradom,Minable Geo,881,1,
Beradom,Minable Geo,937,4,
Feynmaline,Minable Geo,371,99,
Feynmaline,Minable Geo,371,99,
Feynmaline,Minable Geo,371,99,
Feynmaline,Minable Geo,561,66,
Feynmaline,Minable Geo,561,99,
Feynmaline,Minable Geo,371,60,
Feynmaline,Minable Geo,561,99,
Feynmaline,Minable Geo,561,99,
Feynmaline,Minable Geo,371,98,
Feynmaline,Minable Geo,371,21,
Feynmaline,Minable Geo,371,99,
Feynmaline,Minable Geo,561,52,
Feynmaline,Minable Geo,371,42,
Feynmaline,Minable Geo,769,42,
Feynmaline,Minable Geo,561,97,
Feynmaline,Minable Geo,682,22,
Feynmaline,Minable Geo,880,2,
Glacosite,Minable Geo,360,32,
Glacosite,Minable Geo,857,4,
Glacosite,Minable Geo,678,15,
Glacosite,Minable Geo,724,4,
Glacosite,Minable Geo,972,5,
Glacosite,Minable Geo,567,49,
Janalite,Minable Geo,269,99,
Janalite,Minable Geo,269,71,
Janalite,Minable Geo,269,99,
Janalite,Minable Geo,596,80,
Janalite,Minable Geo,732,99,
Janalite,Minable Geo,898,13,
Janalite,Minable Geo,596,99,
Janalite,Minable Geo,269,25,
Janalite,Minable Geo,596,65,
Janalite,Minable Geo,632,99,
Janalite,Minable Geo,732,16,
Janalite,Minable Geo,632,97,
Janalite,Minable Geo,596,90,
Janalite,Minable Geo,732,50,
Janalite,Minable Geo,596,50,
Janalite,Minable Geo,269,95,
Janalite,Minable Geo,632,64,
Carinite,Minable Geo,554,15,
Carinite,Minable Geo,909,1,
Carinite,Minable Geo,880,3,
Carinite,Minable Geo,716,1,
Sadaryx,Minable Geo,510,25,
Sadaryx,Minable Geo,797,17,
Sadaryx,Minable Geo,258,53,
Jaclium,Minable Geo,284,26,
Jaclium,Minable Geo,576,1,
Saldynium,Minable Geo,301,12,
Feynmaline,Minable Geo,371,2,
Beradom,Minable Geo,578,1,
Glacosite,Minable Geo,360,2,
Beradom,Minable Geo,287,1,
Aphorite,Minable Geo,348,1,
Dolivine,Minable Geo,577,2,
Quantanium,Minable Vaisseaux,344,2,
Quantanium,Minable Vaisseaux,344,1,
Quantanium,Minable Vaisseaux,344,"0,809",
Quantanium,Minable Vaisseaux,514,1,
Quantanium,Minable Vaisseaux,514,"0,182",
Tin,Minable Vaisseaux,537,2,
Tin,Minable Vaisseaux,537,"0,843",
Beryl,Minable Vaisseaux,547,1,
Beryl,Minable Vaisseaux,547,"0,14",
Quantanium,Minable Vaisseaux,344,2,
Quantanium,Minable Vaisseaux,344,"0,435",
Quantanium,Minable Vaisseaux,852,"0,55",
Beryl,Minable Vaisseaux,547,4,
Beryl,Minable Vaisseaux,547,2,
Beryl,Minable Vaisseaux,547,1,
Beryl,Minable Vaisseaux,547,"0,992",
Beryl,Minable Vaisseaux,717,4,
Beryl,Minable Vaisseaux,717,"0,439",
Copper,Minable Vaisseaux,359,4,
Quantanium,Minable Vaisseaux,514,2,
Quantanium,Minable Vaisseaux,514,"0,201",
Quantanium,Minable Vaisseaux,669,"0,453",
Beryl,Minable Vaisseaux,717,"0,889",
Quantanium,Minable Vaisseaux,344,1,
Quantanium,Minable Vaisseaux,344,"0,572",
Quantanium,Minable Vaisseaux,514,"0,366",
Quantanium,Minable Vaisseaux,669,"0,172",
Copper,Minable Vaisseaux,359,2,
Copper,Minable Vaisseaux,359,"0,091",
Copper,Minable Vaisseaux,593,2,
Copper,Minable Vaisseaux,593,"0,054",
Copper,Minable Vaisseaux,652,"0,789",
Beryl,Minable Vaisseaux,717,1,
Beryl,Minable Vaisseaux,717,"0,184",
Titanium,Minable Vaisseaux,516,1,
Titanium,Minable Vaisseaux,516,"0,796",
Titanium,Minable Vaisseaux,622,"0,072",
Aslarite,Minable Vaisseaux,575,1,
Aslarite,Minable Vaisseaux,575,"0,183",
Agricium,Minable Vaisseaux,796,4,
